"","SO_Dist","SF_Dist","PV_Dist","PH_Dist","SO_ElevDist","SF_ElevDist","PV_ElevDist","PH_ElevDist"
"LC2",613.735456925223,400.7506122071,146.413243912233,147.073166823431,-124.572292,-176.1338424,181.328950472,159.08852783
"OH1",643.01676691733,431.997686648656,125.606396931054,126.595665065713,-289.09059301,-340.65214341,16.810649462,-5.42977318
"OK1",153.242155535923,125.202008157965,390.44736605846,389.437211847103,620.9884154,569.426865,926.889657872,904.64923523
"OL1",503.08330365779,291.988954442861,45.5510211034409,45.2055789275858,-302.24474652,-353.80629692,3.656495952,-18.58392669
"OR1",323.57737661802,114.572916106253,202.260402029516,201.285031245502,-129,-180.5615504,176.901242472,154.66081983
"PA1",617.748723810538,404.75983044062,131.015494361655,131.788922230365,-207.9989806,-259.560531,97.902261872,75.66183923
"PA3",619.011537276873,406.01946577917,132.164851892964,132.941176372274,-259.39750909,-310.95905949,46.503733382,24.26331074
"PA4",618.423019087969,405.429673943101,131.788081082838,132.562121498928,-237.14330959,-288.70485999,68.757932882,46.51751024
"PF1",485.341880167788,279.70520428697,39.5477674962407,38.5391797031362,133.3859074,81.824357,439.287149872,417.04672723
"PF2",485.403002988069,279.761176225041,39.481555282045,38.4729456928778,128.4071987,76.8456483,434.308441172,412.06801853
"PF4",485.799531256541,280.072212751568,38.9762183844932,37.9670285284211,-34.756481,-86.3180314,271.144761472,248.90433883
"PF5",485.695589335358,279.967741130753,39.0753336075771,38.0661046272811,-37.2152584,-88.7768088,268.685984072,246.44556143
"PL1",477.892262740196,674.004881980227,947.296858538758,946.299684577897,492.0578535,440.4963031,797.959095972,775.71867333
"PL11",479.608483278082,675.330584018816,948.044910468911,947.048247955758,585.904047,534.3424966,891.805289472,869.56486683
"PL4",476.318316794568,672.257895051564,945.375506637735,944.378449044451,463.7992153,412.2376649,769.700457772,747.46003513
"PL7",480.658787173386,675.591857781504,947.229853962436,946.234122519575,677.946738,626.3851876,983.847980472,961.60755783
"RA2",76.8259384148475,258.38851140766,575.050601010886,574.074326303881,505,453.4384496,810.901242472,788.66081983
"RA8",76.8259384148475,258.38851140766,575.050601010886,574.074326303881,505,453.4384496,810.901242472,788.66081983
"RV3",365.335729180137,578.34967653892,884.557675388635,883.549877249707,-38.3126984,-89.8742488,267.588544072,245.34812143
"RV4",365.352720278089,578.366976640046,884.578363078057,883.570567212319,-39.4920591,-91.0536095,266.409183372,244.16876073
"RV8",365.363298534749,578.37728679045,884.585556205224,883.577758129909,-35.7449546,-87.306505,270.156287872,247.91586523
"SA5",623.363013235009,834.204013232192,1129.93748426719,1128.92788299804,33.3402625,-18.2212879,339.241504972,317.00108233
"SA7",622.91248730524,833.781877398761,1129.59731579432,1128.58769211437,50.5983954,-0.963154999999972,356.499637872,334.25921523
"SA8",623.398598536242,834.25143676472,1130.01696942846,1129.00735973504,49.0519038,-2.5096466,354.953146272,332.71272363
"SC4",601.885496396126,812.550417222368,1108.01935325994,1107.00978178658,562.173197,510.6116466,868.074439472,845.83401683
"SN1",400.518984434705,596.343595960447,872.219241555389,871.218695709615,149.7435315,98.1819811,455.644773972,433.40435133
"SN2",399.036739178814,595.061285422019,871.241218945313,870.240430474028,238,186.4384496,543.901242472,521.66081983
"SN3",409.922926606274,606.640896420451,883.230759784235,882.229869588732,134.3377691,82.7762187,440.239011572,417.99858893
"SN4",406.667007211178,603.272683957621,879.852821733117,878.851882993156,244.7090392,193.1474888,550.610281672,528.36985903
"SR2",508.403555336462,720.178314236864,1019.69698482046,1018.68676546993,-301.51549471,-353.07704511,4.385747762,-17.85467488
"SR3",508.405965748811,720.136217437752,1019.51791562964,1018.50769591575,-302.93960765,-354.50115805,2.961634822,-19.27878782
"VE10",166.163328954154,47.6776961022599,360.040663595437,359.054455778241,-90.0013738,-141.5629242,215.899868672,193.65944603
"VE5",166.163328954154,47.6776961022599,360.040663595437,359.054455778241,-90.0013738,-141.5629242,215.899868672,193.65944603
"VE7",166.163328954154,47.6776961022599,360.040663595437,359.054455778241,-90.0013738,-141.5629242,215.899868672,193.65944603
"VI3",666.380684416106,453.43589276807,169.23781061278,170.126350591949,-233.84889918,-285.41044958,72.052343292,49.81192065
"VI4",662.852561489434,449.913292912338,165.953598193664,166.83826442028,-217.79876816,-269.36031856,88.102474312,65.86205167
"VI5",660.627031066836,447.685610805712,164.097479808927,164.978472399027,-276.80656445,-328.36811485,29.094678022,6.85425538
"WL3",316.332113985251,113.962835441359,207.612032589155,206.613173159022,-199.2963772,-250.8579276,106.604865272,84.36444263
"WL8",316.332113985251,113.962835441359,207.612032589155,206.613173159022,-199.2963772,-250.8579276,106.604865272,84.36444263
"WV2",317.85200425481,115.448022270498,206.093856851715,205.094863946021,-225.63211615,-277.19366655,80.269126322,58.02870368
"WV6",317.843772615195,115.441856910503,206.102136064257,205.103139868724,-225.49500344,-277.05655384,80.406239032,58.16581639
"ZE1",276.037350928908,67.3696185830164,249.931049884958,248.951751403458,-182.5228541,-234.0844045,123.378388372,101.13796573
"ZE4",276.037350928908,67.3696185830164,249.931049884958,248.951751403458,-182.5228541,-234.0844045,123.378388372,101.13796573
"ZE6",276.037350928908,67.3696185830164,249.931049884958,248.951751403458,-182.5228541,-234.0844045,123.378388372,101.13796573
