Source,Family,Latitude,Longitude,Elevation,UTMx,UTMy,bFFP ,eFFP ,MSP,Aspect,Slope,Hardiness,FFP 
SN,SN3,39.29279,-121.09569,447.3377691,664221.8366,4350997.255,64,333,82,2.064602832,0.361840843,9a,269
SN,SN4,39.32274,-121.1035,557.7090392,663478.5494,4354307.225,73,330,89,-2.369707598,0.225037832,9a,257
SR,SR2,38.01201667,-122.5147833,11.48450529,542593.9017,4207259.365,26,351,25,2.011357507,0.316577134,10a,325
SR,SR3,38.0135,-122.5019167,10.06039235,543722.4995,4207429.914,27,350,24,0.505951551,0.236337015,9b,323
VE,VE10,44.03646,-123.36948,222.9986262,470395.4087,4875988.738,98,313,156,-2.641411889,0.128191854,8b,215
VE,VE5,44.03646,-123.36948,222.9986262,470395.4087,4875988.738,98,313,156,-2.641411889,0.128191854,8b,215
VE,VE7,44.03646,-123.36948,222.9986262,470395.4087,4875988.738,98,313,156,-2.641411889,0.128191854,8b,215
VI,VI3,48.53861667,-123.3901333,79.15110082,471202.0554,5376241.524,77,318,143,-0.422923356,0.143541497,8b,242
VI,VI4,48.50686667,-123.3848833,95.20123184,471571.8246,5372710.366,78,318,141,-0.471458545,0.218718482,8b,240
VI,VI5,48.48685,-123.3873667,36.19343555,471377.1307,5370486.335,72,320,139,-0.593687595,0.050225651,8b,248
WL,WL3,45.35004,-122.76506,113.7036228,518403.7719,5021863.447,82,319,189,2.465937081,0.207877823,8b,237
WL,WL8,45.35004,-122.76506,113.7036228,518403.7719,5021863.447,82,319,189,2.465937081,0.207877823,8b,237
WV,WV2,45.36327,-122.75967,87.36788385,518821.6053,5023334.471,82,319,189,-2.939785277,0.118796732,8b,237
WV,WV6,45.36319,-122.75963,87.50499656,518824.7644,5023325.592,82,319,189,2.512755857,0.098955462,8b,237
ZE,ZE1,45.01889,-123.15399,130.4771459,487867.2211,4985060.376,97,310,204,-0.971999384,0.121593207,8b,213
ZE,ZE4,45.01889,-123.15399,130.4771459,487867.2211,4985060.376,97,310,204,-0.971999384,0.121593207,8b,213
ZE,ZE6,45.01889,-123.15399,130.4771459,487867.2211,4985060.376,97,310,204,-0.971999384,0.121593207,8b,213
,Sprague,42.540568,-123.412465,313,466131.2373,4709880.133,110,298,86,-1.743824364,0.115737631,8b,188
,Starker,44.458412,-123.479068,364.5615504,461888.1002,4922901.299,96,318,193,-2.731832937,0.195807519,8b,222
,PuyallupValley,47.193831,-122.328583,7.098757528,550859.8802,5226922.846,81,319,182,2.381602199,0.067307238,8b,238
,PuyallupHill,47.184742,-122.328794,29.33918017,550852.5778,5225912.653,84,318,189,2.151786349,0.109577331,8b,234
