"","Overal_Indep","Dep","Spec_Indep","Estimate","Lower","Upper","P_val"
"44","Ecoregion_Long_Slope","Bud.Swollen","Slope","3.70177719783382","-3.79003474849991","11.1935891441675","0.3359572627359"
"45","Ecoregion_Elev","Bud.Swollen","CSCD","3.99761157856067","0.263440709231176","7.73178244789016","0.0372159856276862"
"46","Ecoregion_Elev","Bud.Swollen","CSCO","1.49225355989035","-2.11130807760405","5.09581519738474","0.419560053375395"
"47","Ecoregion_Elev","Bud.Swollen","KLMT","1.61849558879083","-1.80085793094055","5.03784910852221","0.356239440151655"
"48","Ecoregion_Elev","Bud.Swollen","PULO","4.78644459345766","2.02033622613732","7.55255296077801","0.00078702763335594"
"49","Ecoregion_Elev","Bud.Swollen","SRNA","2.82457067665847","-1.70104526749245","7.35018662080939","0.223935027499535"
"50","Ecoregion_Elev","Bud.Swollen","WIVA","2.66499335777959","-0.326472210646241","5.65645892620541","0.0827914807627249"
"51","Ecoregion_Elev","Bud.Swollen","Elev","0.00103765694212234","-0.00351027760617038","0.00558559149041506","0.656447286981473"
"52","Ecoregion_eFFP","Bud.Swollen","CSCD","5.21481237566337","1.14767807404614","9.28194667728059","0.0126595523104789"
"53","Ecoregion_eFFP","Bud.Swollen","CSCO","1.42471523921512","-2.18622334716944","5.03565382559968","0.441835210552472"
"54","Ecoregion_eFFP","Bud.Swollen","KLMT","2.28022641031849","-0.557960975463327","5.11841379610031","0.117629787895873"
"55","Ecoregion_eFFP","Bud.Swollen","PULO","4.92785409268298","2.11275157018334","7.74295661518263","0.000683882995347425"
"56","Ecoregion_eFFP","Bud.Swollen","SRNA","3.29512069834666","-0.444380738696491","7.03462213538982","0.086184890898123"
"57","Ecoregion_eFFP","Bud.Swollen","WIVA","2.94478465029732","-0.180101904223465","6.06967120481811","0.0665486791232917"
"58","Ecoregion_eFFP","Bud.Swollen","eFFP","0.0262099907479335","-0.0482539275094345","0.100673909005301","0.492620106360972"
"59","Ecoregion_MSP","Bud.Swollen","CSCD","4.12243791350472","0.604018602102145","7.6408572249073","0.0226472162666946"
"60","Ecoregion_MSP","Bud.Swollen","CSCO","1.8631356630229","-1.96604101629107","5.69231234233686","0.342967093225526"
"61","Ecoregion_MSP","Bud.Swollen","KLMT","1.98250872012243","-0.823574734293011","4.78859217453786","0.168700985495519"
"62","Ecoregion_MSP","Bud.Swollen","PULO","4.62434407979384","1.89527082657187","7.35341733301581","0.00100796668052564"
"63","Ecoregion_MSP","Bud.Swollen","SRNA","3.59372302660276","-0.218015208980442","7.40546126218596","0.0664224548154052"
"64","Ecoregion_MSP","Bud.Swollen","WIVA","2.56925024533651","-0.422660618618536","5.56116110929156","0.0944654786505601"
"65","Ecoregion_MSP","Bud.Swollen","MSP","0.0026428852613841","-0.00896626580468606","0.0142520363274543","0.657158460921978"
"66","Ecoregion_Slope","Bud.Swollen","CSCD","4.11286236945798","0.692022346916362","7.5337023919996","0.0193547489264653"
"67","Ecoregion_Slope","Bud.Swollen","CSCO","1.38896828074835","-2.23838657518459","5.01632313668128","0.45541460609219"
"68","Ecoregion_Slope","Bud.Swollen","KLMT","1.87806449291229","-0.96046706536928","4.71659605119386","0.197362136325861"
"69","Ecoregion_Slope","Bud.Swollen","PULO","4.82533385512638","2.06654481631186","7.58412289394089","0.000690773871307572"
"70","Ecoregion_Slope","Bud.Swollen","SRNA","3.36660154067042","-0.360989150874575","7.09419223221541","0.0786479611370424"
"71","Ecoregion_Slope","Bud.Swollen","WIVA","2.68774196820105","-0.303403787275815","5.67888772367791","0.0801754596130346"
"72","Ecoregion_Slope","Bud.Swollen","Slope","2.42642163872164","-4.87535891316851","9.72820219061178","0.517111681697705"
