"","Latitude","Longitude","Slope","Aspect","Elevation","DD.5.wt","Tmax.wt","Eref.wt","MCMT","DD.5.at","Tave.wt","DD.18.wt","Tave.at","DD.18.at","DD.18","DD.5","MAT","SHM","Tmax.at","CMD.at","Eref.at","eFFP.y","DD.5.sp","DD.18.at.1","Tave.sp","DD.18.sp","Tmin.at","Tmin.wt","PPT.sm","CMD","CMD.sp","EMT","Eref.sp","MSP.y","bFFP.x"
"Tave.wt",0,0,0,0,0,0,0,0,0,0,0,0.999805658013586,0.815401648706975,0.863434523339779,0.887423439589096,0.712386811128391,0.77275768119407,0.51726835600952,0.588149859570312,0.455128104853808,0.466574617193812,0.838507793438963,0.761984965771413,0.511131477511403,0.773871796249971,0.784445448790777,0.771178130736184,0.834532684807728,0.441328432674893,0.334342014249269,0.355993524650424,0.786512087760969,0.377448982612701,0.323630680633902,0.758873588758661
"DD.18.wt",0,0,0,0,0,0,0,0,0,0,0,0,0.814736818569187,0.862817487126418,0.885974837555787,0.710985884710203,0.771437626533001,0.513316603882854,0.586879598931593,0.452971814770655,0.465430121985765,0.839235618980521,0.758602369941176,0.510488514584545,0.77055100983727,0.781177640595755,0.772294335581841,0.835928796339009,0.43930619226054,0.332399843367564,0.352884624993526,0.788363244832923,0.375308207070269,0.32149470763306,0.759518501027014
"Tave.at",0,0,0,0,0,0,0,0,0,0,0,0,0,0.991518807596628,0.962499697888569,0.967180772711651,0.974756161120639,0.581115249466707,0.894640354264216,0.71311115723678,0.79706603351493,0.575401246271031,0.856988799332175,0.862254111927467,0.851837904747391,0.847762849072485,0.623888475715829,0.488421112824107,0.58911314071512,0.64452120842602,0.501964201127866,0.422926067152334,0.705760282451116,0.400694982465795,0.426900809781953
"DD.18.at",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977627758841808,0.939698964905153,0.959579497826824,0.584413806379326,0.860411997034111,0.683759297219742,0.754860110237067,0.631120654945673,0.85726427903159,0.795199843985054,0.856745730496241,0.856984308898598,0.662295530318976,0.554391868848222,0.574356426709674,0.6009517077385,0.487959915506949,0.488588445261971,0.663911787782628,0.394490840287564,0.484627282156421
"DD.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936070718409726,0.966764634087998,0.610318805729488,0.837432756688602,0.683260124420503,0.714534952026999,0.632646491060939,0.930384474235318,0.75040499921491,0.934558570664765,0.936968885812868,0.638976326307434,0.580081695954864,0.593882350852388,0.604143388847635,0.53941239944608,0.522488777222486,0.661346298174949,0.439637017861844,0.517766540324207
"DD.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990472003803957,0.59606218885771,0.938341978958209,0.785180464885227,0.848208790037484,0.438767703777318,0.904588555919118,0.912083568974371,0.89419143041946,0.885140789293739,0.495961630411253,0.361004163725763,0.643742483491797,0.752723984003689,0.588517698171889,0.305979435624359,0.804117073494758,0.46593209593336,0.320475310384917
"MAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581038584754982,0.914119506808094,0.747363331008132,0.804068007007593,0.497503443560284,0.921961959749778,0.876815481114947,0.920872095081883,0.91567590553456,0.545093655955217,0.425138938682335,0.633472112323934,0.706952099240052,0.569587747208839,0.369377902925236,0.760662330178017,0.460530905472933,0.374106801384387
"SHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548855335181526,0.750529056477201,0.533677842878903,0.338369833468422,0.677741827440363,0.430494654750983,0.645474145314229,0.637050546328035,0.315338418238882,0.304055361940538,0.652494924532273,0.617374830777733,0.793566248613455,0.260099450404959,0.52208999992359,0.609720299506152,0.319463537274634
"Tmax.at",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861393332356106,0.96856254368545,0.269362819153757,0.803783674219621,0.880876879679357,0.788047727485635,0.777702680168052,0.300810772703812,0.217650277148485,0.641136136732825,0.843344884439258,0.584471239290902,0.170616071366043,0.930162553858875,0.432311477671082,0.162977875758875
"CMD.at",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888493602733724,0.166570948688961,0.720772510281331,0.682924679772527,0.693921492203635,0.681107504832698,0.177113118528242,0.14219995197042,0.826793206407799,0.954585842229879,0.833781653701598,0.110418949260354,0.887546731121805,0.684053030270826,0.11373446847607
