"","ClimVar","PVGr","PVDBK","PVMort","PHGr","PHDBK","PHMort","SFGr","SFDBK","SFMort","SOGr","SODBK","SOMort"
"27","CMD",0.0005509311998731,0.00121000031001302,0.0032956070577325,6.03651048179397e-06,7.99100206722872e-05,2.80689205887372e-05,9.43657252706138e-05,0.000678361253143186,0.000427733323997005,0.000151993189263072,2.0864615074019e-05,0.00127841446326397
"28","RH",0.000616105918144175,0.000763770750911672,0.000726116946467134,0.000109977139336879,9.58287830070425e-06,1.21319648325579e-06,2.36946740028719e-06,9.60137461191122e-05,0.00229313298075145,9.21813654181411e-05,3.48560020513398e-05,0.00231357779505698
"29","Tmax.wt",0.000219072296177053,0.000530470517198106,0.00105090777775768,0.000332195916262199,0.000245836020539128,0.000721801329338901,1.19100315251176e-05,0.00112696661065515,0.000513624645604992,0.000192823864154956,0.000131142862026284,0.000576874961270808
"30","Tmax.sp",0.000111471639130155,0.00068596137694422,0.00166053027124596,2.64750947184987e-06,0.000173984482935295,0.00110983217608249,4.2099850379761e-05,0.000422073353137244,0.000698306303545849,0.000392039057363545,9.44843825515665e-05,0.000477874855745088
"31","Tmax.sm",0.000240372526202816,0.00112188706341552,0.00303384382994755,3.52679565287665e-05,5.45616895307317e-05,0.000172080604427169,1.41856627531911e-05,7.38789635616899e-05,0.00170840605320607,5.7537084548687e-08,0.00013391455729691,0.00125772867730742
"32","Tmax.at",0.000506755741515014,0.00104293059107139,0.00248644713791699,0.000222902805245126,0.000262728259922128,0.000354758346027877,3.39183652021536e-06,0.000677401732696773,0.00148636952820612,0.000244355790803331,7.21695125594141e-06,0.00128971839368905
"33","Tmin.wt",1.86402583283882e-05,9.6493984743536e-06,0.000125785482098264,0.00112871484375023,0.000433985595171423,0.00280116767545277,1.71985461482554e-05,0.000531440922332387,1.52810590200093e-05,0.000147553499583683,6.88456178350992e-05,0.000151600446230732
"34","Tmin.sp",9.37028688778387e-05,2.55363779663947e-05,5.43110396415071e-05,0.000175771488027176,0.000140411014551511,0.00242102990613796,4.06877108519328e-05,0.000279349888402723,0.00030832918581556,4.11975322774818e-05,1.46549315902605e-05,0.000485831821582444
"35","Tmin.sm",0.000390230795417857,0.00047791098359118,0.00688394083002918,5.68588826018188e-06,0.000196919783530931,8.33169320749268e-05,7.6672158185581e-05,0.00138096070478504,0.000622358774619397,3.44222942295002e-05,0.000678854590796779,0.000426539764443791
"36","Tmin.at",7.54450341652702e-05,0.000216579491746215,0.00159556248506052,0.001185818658097,0.000672727981861436,0.00251680374833366,3.7272877272717e-05,0.000847557492872149,2.73232672883456e-05,0.000239351744498175,6.50271451035998e-05,0.000130496941271938
"37","Tave.wt",4.74987748046676e-05,0.000226916867954322,0.000629243591267832,0.000718639629349621,0.000370562801353553,0.00171754006135698,1.67135662959166e-05,0.000992206837599319,0.000139129385386316,0.000181722623016569,0.000123111349075492,9.82618352290119e-05
"38","Tave.sp",1.25192413108832e-05,0.000452632057519122,0.00109101423403435,2.46794718947769e-05,0.000209394431210663,0.00205397022086733,5.17262936604485e-05,0.000492983578022375,0.000135878648539806,0.000310195722318282,7.47452404979534e-05,3.09788365100914e-05
"39","Tave.sm",5.23376038042585e-05,0.00121911743820946,0.0050929618536307,2.16542594188104e-05,9.67580701248259e-05,0.000145744336846392,4.11217759565759e-05,0.000328207850627509,0.000717735908986657,6.68637640632388e-06,0.000300754340825423,0.000537687606314809
