"","Site","Overal_Indep","Dep","Spec_Indep","Estimate","STDError","Pr(>|z|)"
"142","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","KLMT","727.926572695074","1199587.17837598","0.999515832322505"
"143","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","PULO","2121.04108315159","2170.37633875604","0.328436094300314"
"144","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","SRNA","161.366056631885","29254.4526985889","0.995598932112604"
"145","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","WIVA","1863.07034853405","2071.98958574132","0.368562252701376"
"146","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","Dist","-45.3748544828812","153.298450082896","0.767237487893313"
"147","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","Slope","64.497254049385","70.3959649597075","0.359558497261355"
"148","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","ElevDist","302.235556686525","161.216139867992","0.0608308825999082"
"149","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","eFFP","-14.5602859023524","44.8598926407868","0.745504670145472"
"150","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","DD.5.sp","-790.202623499936","515.953283055987","0.125636212228821"
"151","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","CSCD","1916.9961187092","2048.35700193483","0.349340061808679"
"152","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","CSCO","378.142314735251","698.402317519946","0.588204970528304"
"153","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","KLMT","649.86361041686","2048.5071585863","0.751063278650008"
"154","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","PULO","1964.04636214654","692.845513278956","0.00458610321537499"
"155","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","SRNA","139.242399046822","931.788388969016","0.881209886731421"
"156","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","WIVA","1740.91578488296","652.929810885626","0.00766880675944885"
"157","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","Dist","-140.715090180747","325.03848097872","0.665074161538258"
"158","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","Slope","86.5813396589923","55.4778415897638","0.118607009111931"
"159","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","ElevDist","313.600274013678","152.965741286505","0.0403513519029661"
"160","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","DD.5.sp","-829.047302963609","612.477238895023","0.175865010708943"
"161","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","CSCD","4819.47089155492","933.012627935124","2.39805051117361e-07"
"162","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","CSCO","730.696019213385","1525.43211016656","0.631932081648385"
"163","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","KLMT","1244.7917831549","1031.38528072266","0.227465844895319"
"164","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","PULO","4173.56263787238","650.738474162786","1.42142365923505e-10"
"165","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","SRNA","169.412317509582","708.77344608747","0.811088664831019"
"166","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","WIVA","3602.56081392937","314.100900888567","1.87875406286613e-30"
"167","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","Dist","-375.606668708605","940.454326902192","0.689606946034314"
"168","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","Aspect","-913.357846061396","159.07968384544","9.38351437178873e-09"
"169","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","ElevDist","567.185358224869","84.5118428961605","1.92881987286589e-11"
"170","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","eFFP","-1303.95373908796","277.500205646038","2.61529460972434e-06"
"171","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","DD.5.sp","-2425.79374964423","268.770619836661","1.78849143657116e-19"
"172","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_DD.5.sp","PercDead","CSCD","2840.45462573226","5479416.32146352","0.999586387553515"
"173","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_DD.5.sp","PercDead","CSCO","553.125117642205","1636.2667561578","0.735332352198517"
"174","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_DD.5.sp","PercDead","KLMT","908.43772668253","3512638.97839588","0.999793651316589"
"175","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_DD.5.sp","PercDead","PULO","2884.49386709598","2169.32947120731","0.183626787990575"
"176","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_DD.5.sp","PercDead","SRNA","190.874451352767","67821.40214397","0.997754461395305"
"177","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_DD.5.sp","PercDead","WIVA","2499.24633237979","2044.06655652311","0.221449283417513"
"178","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_DD.5.sp","PercDead","Dist","-46.3487003555756","65.7136466495749","0.480615367021243"
"179","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_DD.5.sp","PercDead","Aspect","39.8395998914455","23.0487694374087","0.0839001604736028"
"180","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_DD.5.sp","PercDead","ElevDist","379.351025492009","190.085806209415","0.0459684309176794"
"181","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_DD.5.sp","PercDead","DD.5.sp","-1169.89999947633","585.317925429641","0.0456361876535526"
"182","PuyallupHill","Ecoregion_Dist_ElevDist_eFFP_MSP_DD.5.sp","PercDead","CSCD","2741.80136966925","5479416.35287997","0.999600752936176"
"183","PuyallupHill","Ecoregion_Dist_ElevDist_eFFP_MSP_DD.5.sp","PercDead","CSCO","464.879611048638","1704.76778523902","0.7850885985169"
"184","PuyallupHill","Ecoregion_Dist_ElevDist_eFFP_MSP_DD.5.sp","PercDead","KLMT","869.434306710591","3362077.23381794","0.999793666785746"
"185","PuyallupHill","Ecoregion_Dist_ElevDist_eFFP_MSP_DD.5.sp","PercDead","PULO","2624.80533020111","2152.34552998469","0.222650958884266"
"186","PuyallupHill","Ecoregion_Dist_ElevDist_eFFP_MSP_DD.5.sp","PercDead","SRNA","221.366994858181","29253.5211759472","0.99396231240826"
"187","PuyallupHill","Ecoregion_Dist_ElevDist_eFFP_MSP_DD.5.sp","PercDead","WIVA","2318.13949162114","2052.21514296296","0.25865358941648"
