"","Group","Dep","Indep","MAE1","MAE2","MAE3","MAE4","MAE5"
"36","Starker","PercDead","eFFP","0.176678412418282","0.152289738339508","0.15361373048005","0.164768101513821","0.149876660204573"
"37","Starker","PercDead","eFFP_MSP","0.17914751609107","0.155263899011998","0.153510161588518","0.165840464569768","0.150127545878498"
"38","Starker","PercDead","eFFP_DD.5.sp","0.177952517105254","0.154247902083957","0.15454289983757","0.165569278761023","0.149361225191101"
"39","Starker","PercDead","MSP","0.17888153616122","0.155174781239569","0.153216192831835","0.16585105904871","0.150539145391243"
"40","Starker","PercDead","MSP_DD.5.sp","0.179254482675833","0.154930971377595","0.156139431895219","0.165642422649043","0.15013551174013"
"41","Starker","PercDead","DD.5.sp","0.176254174933771","0.154655996099479","0.153710651298509","0.165556971152312","0.149513060481859"
"42","Sprague","PercDead","Dist","0.179601723780251","0.212826375158394","0.220024343639654","0.175128842954418","0.205959476815708"
"43","Sprague","PercDead","Dist_Slope","0.179460155921851","0.21268994795259","0.219988918207634","0.174920162887157","0.206561536126539"
"44","Sprague","PercDead","Dist_Aspect","0.180229568102672","0.213054123113419","0.219965727112428","0.175822607663902","0.206206504909124"
"45","Sprague","PercDead","Dist_ElevDist","0.179636055520186","0.214247530178677","0.220401479288702","0.175281112203347","0.207064069206141"
"46","Sprague","PercDead","Dist_eFFP","0.181226213879973","0.212693012887145","0.219935494407688","0.175032054082036","0.206400282027401"
"47","Sprague","PercDead","Dist_MSP","0.179441436794628","0.212713253173942","0.220307467977731","0.175243834625754","0.205745486888713"
"48","Sprague","PercDead","Dist_DD.5.sp","0.179578267812561","0.212773166050819","0.220671860158585","0.175014609814943","0.20734175028199"
"49","Sprague","PercDead","Slope","0.180232405200755","0.213376220783591","0.219516890562041","0.174216619025969","0.207197358808345"
"50","Sprague","PercDead","Aspect","0.180462513207367","0.212986022418556","0.219417361988602","0.176232037577194","0.207220720116175"
"51","Sprague","PercDead","Aspect_MSP","0.180070833765931","0.212872709754984","0.220334210319988","0.177895104911317","0.208945889389695"
"52","Sprague","PercDead","ElevDist","0.180083264446021","0.214149515667036","0.219500231454441","0.174894705376982","0.207709111708125"
"53","Sprague","PercDead","eFFP","0.180880694165307","0.212954835271328","0.219475817768226","0.175069332093235","0.207561106091882"
"54","Sprague","PercDead","eFFP_MSP","0.180223537256895","0.212599195406365","0.219945485663643","0.175393045683152","0.210575954918339"
"55","Sprague","PercDead","MSP","0.180306864035715","0.213587881933843","0.220069672198172","0.174399934219263","0.206982969096683"
"56","Sprague","PercDead","DD.5.sp","0.180226403536784","0.213632863668035","0.220324995049136","0.174571247784884","0.208102307825704"
