"","Ecoregion","Source","PH_OGR","PV_OGR","SF_OGR","SO_OGR","PH_DBK","PV_DBK","SF_DBK","SO_DBK","PH_PMT","PV_PMT","SF_PMT","SO_PMT"
"22","KLMT","KLb",41.6842105263158,75.125,79.8181818181818,3,19.5731707317073,34.3625,10.55,7.275,0.55,0.658333333333333,0.175,0.725
"23","KLMT","KLc",18.5625,90.2272727272727,69.2,6.36842105263158,22.9642857142857,35.45,11.55,9.34615384615385,0.375,0.714285714285714,0.375,0.65625
"24","PULO","KM",68.3888888888889,79.1578947368421,64.5,8.11764705882353,12.2173913043478,36.1375,12.3421052631579,7.8125,0.575,0.728422619047619,0.316666666666667,0.525
"25","CORA","LA",31.3055555555556,72.1875,59.5238095238095,6.66666666666667,21.05,34,16.7088607594937,8.04375,0.575,0.778125,0.2,0.7125
"26","CORA","LC",50.2941176470588,68.9473684210526,84.2857142857143,10.5,12.6710526315789,34.7875,17.8875,4,0.575,0.825,0.225,0.7
"27","PULO","OH",51.8888888888889,31.1111111111111,50.4736842105263,13.0909090909091,22.05,34.3,30.85,8.55,0.4,0.7,0.2,0.7
"28","CSCD","OK",-2.625,18.5,79.7222222222222,15.0909090909091,12.047619047619,40.5,10.2,5.7,0.7,0.8,0.2,0.7
"29","PULO","OL",15.1428571428571,78.2727272727273,64.6315789473684,2,28.7142857142857,47.45,24.2619047619048,7.33333333333333,0.5,0.7,0.291666666666667,0.383333333333333
"30","WIVA","OR",69.1818181818182,50.5384615384615,69.6875,11.1111111111111,14.5,64.1,22.6842105263158,7.88095238095238,0.5,0.625,0.2,0.666666666666667
"31","PULO","PA",19.6818181818182,58.4,72.8222222222222,11.2857142857143,17.140625,35.3166666666667,16,5.74576271186441,0.516666666666667,0.768650793650794,0.283333333333333,0.641666666666667
"32","CSCD","PF",59.5588235294118,79.3125,64.3768115942029,11.5121951219512,22.93125,29.44,22.1,9.41875,0.6,0.657291666666667,0.2,0.4875
"33","SRNA","PL",55.2903225806452,59.75,65.40625,7.97435897435897,15.1904761904762,45.25,16.05625,9.14814814814815,0.445833333333333,0.817559523809524,0.2125,0.59375
"34","KLMT","RA",43.0909090909091,86.75,53.6875,6.26666666666667,21.0609756097561,34.1625,22.075,10.425,0.525,0.655357142857143,0.225,0.6
"35","CSCO","RV",41.9583333333333,51.7941176470588,71.3870967741936,9.96153846153846,20.5555555555556,48.775,14.4237288135593,9.25409836065574,0.516666666666667,0.686111111111111,0.241666666666667,0.622222222222222
"36","CORA","SA",33.6071428571429,64.25,36.4736842105263,14.9285714285714,23.3559322033898,38.0833333333333,16.1637931034483,4.91525423728814,0.568055555555556,0.69469696969697,0.170833333333333,0.645833333333333
"37","CORA","SC",47.5,105.4,64.3333333333333,10.4,33.7,28.2,15.4736842105263,10.2,0.45,0.65,0.2625,0.3
"38","SRNA","SN",51.5581395348837,77.6842105263158,65.3703703703704,16.25,19.6176470588235,33.90625,15.6875,9.50625,0.5875,0.752083333333333,0.2375,0.6125
"39","CSCO","SR",52.8,32.8571428571429,79.7692307692308,9.94444444444444,17.9324324324324,42.3875,21.0512820512821,4.7875,0.525,0.814285714285714,0.225,0.5
"40","WIVA","VE",46.3793103448276,87.9655172413793,58.2727272727273,10.3846153846154,18.9435483870968,29.15,19.4416666666667,7.14166666666667,0.633333333333333,0.697222222222222,0.133333333333333,0.633333333333333
"41","PULO","VI",47.1785714285714,88.7647058823529,55.0697674418605,9.8,16.6311475409836,35.3166666666667,17.2372881355932,7.71666666666667,0.483333333333333,0.741666666666667,0.258333333333333,0.597222222222222
"42","WIVA","WL",25.1578947368421,100.25,51.7714285714286,3.23076923076923,24.6785714285714,23.125,27.5384615384615,6.55,0.708333333333333,0.729166666666667,0.225,0.65
"43","WIVA","WV",44.2307692307692,68.9047619047619,63.3684210526316,10.5384615384615,19.525,41.85,21.6,7.31707317073171,0.575,0.675,0.225,0.704166666666667
"44","WIVA","ZE",29.0526315789474,63.4838709677419,50.8035714285714,11.6896551724138,15.6854838709677,40.4666666666667,25.8559322033898,8.2,0.633333333333333,0.769444444444444,0.208333333333333,0.566666666666667
