Site,Ecoregion,Source,Family,Block,Tree,Condition,Height,Distance,ElevDist,eFFP,MSP,Slope,Aspect,Hardiness,DD.5.sp,Year
PH,SRNA,PL,PL11,4,4,4,174,947.048248,869.5648668,790,-101,284.7904227,22.4,39,1346,15
PH,CSCO,RV,RV3,3,5,2,18,883.5498772,245.3481214,696,-135,420.5904227,24.4,28,1192,15
PH,CSCO,RV,RV4,2,4,4,164,883.5705672,244.1687607,699,-135,418.4904227,24.3,28,1197,15
PH,SRNA,SN,SN1,1,4,4,107,871.2186957,433.4043513,1106,-97,277.7904227,17.9,31,1146,15
PH,SRNA,SN,SN2,4,4,1,97,870.2404305,521.6608198,1157,-91,254.6904227,17.1,33,1225,15
PH,SRNA,SN,SN3,1,1,1,144,882.2298696,417.9985889,836,-107,316.0904227,22.4,28,1076,15
PH,WIVA,VE,VE7,2,5,1,137,359.0544558,193.659446,1205,-33,122.7904227,14.1,68,2042,15
PH,WIVA,VE,VE7,4,3,1,1,359.0544558,193.659446,1205,-33,122.7904227,14.1,68,2042,15
PH,PULO,VI,VI4,1,1,2,88,166.8382644,65.86205167,591,-48,121.0904227,22.3,81,2395,15
PH,WIVA,WL,WL8,4,4,1,42,206.6131732,84.36444263,787,0,102.8904227,19.7,66,1972,15
PH,WIVA,WV,WV2,3,5,2,116,205.0948639,58.02870368,781,0,103.0904227,19.8,65,1963,15
PH,WIVA,WV,WV2,4,4,2,118,205.0948639,58.02870368,781,0,103.0904227,19.8,65,1963,15
PH,WIVA,WV,WV6,2,2,2,34,205.1031399,58.16581639,781,0,103.0904227,19.8,65,1962,15
PH,WIVA,WV,WV6,3,2,4,55,205.1031399,58.16581639,781,0,103.0904227,19.8,65,1962,15
PH,WIVA,WV,WV6,3,3,1,100,205.1031399,58.16581639,781,0,103.0904227,19.8,65,1962,15
PH,WIVA,ZE,ZE1,3,5,1,54,248.9517514,101.1379657,885,15,93.29042267,17.7,73,2093,15
PH,WIVA,ZE,ZE4,2,1,4,18,248.9517514,101.1379657,885,15,93.29042267,17.7,73,2093,15
PH,WIVA,ZE,ZE4,3,4,2,57,248.9517514,101.1379657,885,15,93.29042267,17.7,73,2093,15
PH,WIVA,AK,AK3,2,2,4,63,269.1047817,33.77815497,761,-19,113.8904227,20,66,2000,15
PH,CORA,BA,BA3,4,1,2,85,491.6687228,19.38498796,1395,26,71.89042267,12.5,35,1954,15
