"","Site","Ecoregion","Source","Family","Block","Tree","Condition","Height","Distance","ElevDist","eFFP","MSP","Slope","Aspect","Hardiness","DD.5.sp","Year"
"1764","SO","PULO","FW","FW3","2","2","1","38","535.254786832285","-209.0350518","734","107","94.684262369","20.4","72","2066","12"
"1765","SO","CSCO","BL","BL2","2","4","1","31","375.580220579105","117.0671602","785","-33","431.484262369","22.2","42","1360","12"
"1766","SO","CSCO","HP","HP1","2","1","1","35","394.104203231916","-4","717","-37","469.984262369","24.6","28","1066","12"
"1767","SO","KLMT","CP","CP24","2","2","1","16","25.0387376664524","432.5141535","1183","55","146.084262369","14.6","76","1992","12"
"1768","SO","WIVA","ZE","ZE6","2","1","1","39","276.037350928908","-182.5228541","905","118","93.284262369","17.7","73","2000","12"
"1769","SO","SRNA","PL","PL1","2","2","1","34","477.892262740196","492.0578535","771","-2","300.284262369","23.3","37","1218","12"
"1770","SO","CORA","LA","LA13","2","2","1","33","586.564641926858","242.7551679","662","-36","397.884262369","25.4","21","1045","12"
"1771","SO","CORA","LA","LA8","2","1","1","27","591.831972324976","381.050928","724","-32","370.484262369","23.6","23","1109","12"
"1772","SO","PULO","CR","CR2","2","3","1","25","393.767177639009","-202.9783438","846","141","80.184262369","18.4","73","2059","12"
"1773","SO","CORA","SA","SA7","2","3","1","28","622.91248730524","50.5983954","983","-27","330.584262369","19.2","18","931","12"
"1774","SO","CSCO","SR","SR3","2","3","1","24","508.405965748811","-302.93960765","434","-62","790.084262369","33.5","20","945","12"
"1775","SO","PULO","BR","BR3","2","3","1","28","560.444882105842","-269.85674046","1011","101","98.384262369","16.2","69","2014","12"
"1776","SO","WIVA","VE","VE10","2","2","1","29","166.163328954154","-90.0013738","1225","70","122.784262369","14.1","68","1949","12"
"1777","SO","PULO","CR","CR2","2","2","1","26","393.767177639009","-202.9783438","846","141","80.184262369","18.4","73","2059","12"
"1778","SO","CORA","LA","LA5","1","3","4","29","600.151530340138","137","774","-33","378.784262369","22.9","20","983","12"
"1779","SO","KLMT","BK","BK3","1","4","1","48","81.5626884285419","-85.2662816","2253","226","59.584262369","8.8","41","1639","12"
"1780","SO","CSCD","PF","PF4","1","4","1","41","485.799531256541","-34.756481","711","133","81.884262369","20.1","95","2320","12"
"1781","SO","KLMT","BK","BK3","1","3","1","29","81.5626884285419","-85.2662816","2253","226","59.584262369","8.8","41","1639","12"
"1782","SO","KLMT","KLa","KL6","1","5","1","34","66.4728719762569","603.031443","1467","55","145.884262369","12","87","2127","12"
"1783","SO","KLMT","CY","CY6","1","3","1","19","43.2650877727978","-49.9655697","541","32","175.784262369","26.3","67","1832","12"
"1784","SO","CSCO","CC","CC4","1","2","1","31","509.598170347626","-288","448","-60","725.084262369","32.7","20","965","12"
"1785","SO","CORA","LC","LC1","1","3","1","25","615.438430570665","293.9162552","1031","95","89.584262369","14.7","92","2506","12"
"1786","SO","KLMT","GP","GP1","1","4","1","9","8.77905481711701","128.0596907","524","3","240.684262369","26.7","78","1908","12"
"1787","SO","CSCO","RV","RV8","1","3","2","33","365.363298534749","-35.7449546","719","-32","418.384262369","24.3","28","1104","12"
"1788","SO","WIVA","AK","AK3","1","2","4","35","254.871979866368","-249.88266486","781","84","113.884262369","20","66","1907","12"
