Site,Ecoregion,Source,Family,Block,Tree,Condition,Height,Distance,ElevDist,eFFP,MSP,Slope,Aspect,Hardiness,DD.5.sp,Year
SF,PULO,FB,FB3,3,5,2,118,451.9197403,-356.044468,382,-26,101.4041925,29.3,73,2382,14
SF,PULO,FB,FB9,3,1,2,54,453.4828262,-351.1823325,389,-26,101.5041925,28.9,74,2394,14
SF,PULO,FB,FB9,3,2,1,71,453.4828262,-351.1823325,389,-26,101.5041925,28.9,74,2394,14
SF,PULO,FB,FB9,3,3,1,79,453.4828262,-351.1823325,389,-26,101.5041925,28.9,74,2394,14
SF,PULO,FB,FB9,3,4,1,71,453.4828262,-351.1823325,389,-26,101.5041925,28.9,74,2394,14
SF,PULO,FB,FB9,3,5,1,64,453.4828262,-351.1823325,389,-26,101.5041925,28.9,74,2394,14
SF,PULO,FW,FW10,3,1,1,41,327.5880785,-257.3859722,714,0,94.60419248,20.4,73,2241,14
SF,PULO,FW,FW10,3,3,1,76,327.5880785,-257.3859722,714,0,94.60419248,20.4,73,2241,14
SF,PULO,FW,FW10,3,4,2,50,327.5880785,-257.3859722,714,0,94.60419248,20.4,73,2241,14
SF,PULO,FW,FW10,3,5,1,34,327.5880785,-257.3859722,714,0,94.60419248,20.4,73,2241,14
SF,PULO,FW,FW3,3,1,1,46,327.5675367,-260.5966022,714,0,94.60419248,20.4,72,2240,14
SF,PULO,FW,FW3,3,2,2,131,327.5675367,-260.5966022,714,0,94.60419248,20.4,72,2240,14
SF,PULO,FW,FW3,3,3,1,74,327.5675367,-260.5966022,714,0,94.60419248,20.4,72,2240,14
SF,PULO,FW,FW3,3,4,1,53,327.5675367,-260.5966022,714,0,94.60419248,20.4,72,2240,14
SF,CORA,GA,GA1,3,1,1,99,485.8305756,-201.2166382,1167,-114,259.0041925,15.8,34,1546,14
SF,CORA,GA,GA1,3,3,2,63,485.8305756,-201.2166382,1167,-114,259.0041925,15.8,34,1546,14
SF,CORA,GA,GA1,3,4,1,83,485.8305756,-201.2166382,1167,-114,259.0041925,15.8,34,1546,14
SF,CORA,GA,GA1,3,5,1,65,485.8305756,-201.2166382,1167,-114,259.0041925,15.8,34,1546,14
SF,CORA,GA,GA2,3,1,1,56,486.0012219,-108.8969638,1235,-103,228.1041925,15,35,1561,14
SF,CORA,GA,GA2,3,2,1,116,486.0012219,-108.8969638,1235,-103,228.1041925,15,35,1561,14
SF,CORA,GA,GA2,3,4,2,40,486.0012219,-108.8969638,1235,-103,228.1041925,15,35,1561,14
SF,CORA,GA,GA3,3,1,1,57,485.8465652,-86.744403,1231,-104,229.5041925,15.1,35,1558,14
SF,CORA,GA,GA3,3,2,1,88,485.8465652,-86.744403,1231,-104,229.5041925,15.1,35,1558,14
SF,CORA,GA,GA3,3,3,1,97,485.8465652,-86.744403,1231,-104,229.5041925,15.1,35,1558,14
