Site,Ecoregion,Source,Family,Block,Tree,Condition,Height,Distance,ElevDist,eFFP,MSP,Slope,Aspect,Hardiness,DD.5.sp,Year
SO,KLMT,CY,CY6,1,4,2,33,43.26508777,-49.9655697,541,32,175.7842624,26.3,67,1832,14
SO,KLMT,CY,CY6,1,5,2,51,43.26508777,-49.9655697,541,32,175.7842624,26.3,67,1832,14
SO,CSCD,DE,DE2,1,2,2,70,NA,NA,NA,NA,NA,NA,NA,NA,14
SO,CSCD,DE,DE2,1,3,2,24,NA,NA,NA,NA,NA,NA,NA,NA,14
SO,CSCD,DE,DE2,1,4,2,29,NA,NA,NA,NA,NA,NA,NA,NA,14
SO,CSCD,DE,DE4,1,1,1,31,265.2165113,492,1638,204,60.98426237,9.5,187,2931,14
SO,CSCD,DE,DE4,1,3,1,57,265.2165113,492,1638,204,60.98426237,9.5,187,2931,14
SO,CSCD,DE,DE4,1,5,2,34,265.2165113,492,1638,204,60.98426237,9.5,187,2931,14
SO,CSCD,DE,DE5,1,1,2,41,265.1383423,458.8925058,1639,204,61.28426237,9.6,186,2916,14
SO,CSCD,DE,DE5,1,2,2,30,265.1383423,458.8925058,1639,204,61.28426237,9.6,186,2916,14
SO,CSCD,DE,DE5,1,3,2,44,265.1383423,458.8925058,1639,204,61.28426237,9.6,186,2916,14
SO,CSCD,DE,DE5,1,4,1,48,265.1383423,458.8925058,1639,204,61.28426237,9.6,186,2916,14
SO,CSCD,DE,DE5,1,5,2,1,265.1383423,458.8925058,1639,204,61.28426237,9.6,186,2916,14
SO,CSCD,DE,DE6,1,1,1,24,265.0690615,441.8524513,1640,204,61.68426237,9.6,184,2895,14
SO,CSCD,DE,DE6,1,2,2,45,265.0690615,441.8524513,1640,204,61.68426237,9.6,184,2895,14
SO,CSCD,DE,DE6,1,3,2,52,265.0690615,441.8524513,1640,204,61.68426237,9.6,184,2895,14
SO,CSCD,DE,DE6,1,4,1,41,265.0690615,441.8524513,1640,204,61.68426237,9.6,184,2895,14
SO,CSCD,DE,DE6,1,5,2,31,265.0690615,441.8524513,1640,204,61.68426237,9.6,184,2895,14
SO,PULO,FB,FB3,1,1,2,64,662.8559742,-304.4829176,402,81,101.4842624,29.3,73,2208,14
SO,PULO,FB,FB3,1,3,2,32,662.8559742,-304.4829176,402,81,101.4842624,29.3,73,2208,14
SO,PULO,FB,FB3,1,4,2,2,662.8559742,-304.4829176,402,81,101.4842624,29.3,73,2208,14
