Site,Ecoregion,Source,Family,Block,Tree,Condition,Height,Distance,ElevDist,eFFP,MSP,Slope,Aspect,Hardiness,DD.5.sp,Year
PV,PULO,FB,FB9,2,2,1,26,146.0800074,6.280460382,388,-15,101.6326928,28.9,74,2296,12
PV,PULO,FB,FB9,2,3,2,44,146.0800074,6.280460382,388,-15,101.6326928,28.9,74,2296,12
PV,PULO,FB,FB9,2,4,2,62,146.0800074,6.280460382,388,-15,101.6326928,28.9,74,2296,12
PV,PULO,FB,FB9,2,5,1,46,146.0800074,6.280460382,388,-15,101.6326928,28.9,74,2296,12
PV,PULO,FW,FW10,2,1,2,56,12.00724802,100.0768207,713,11,94.73269276,20.4,73,2143,12
PV,PULO,FW,FW10,2,2,1,40,12.00724802,100.0768207,713,11,94.73269276,20.4,73,2143,12
PV,PULO,FW,FW10,2,3,1,73,12.00724802,100.0768207,713,11,94.73269276,20.4,73,2143,12
PV,PULO,FW,FW10,2,4,1,43,12.00724802,100.0768207,713,11,94.73269276,20.4,73,2143,12
PV,PULO,FW,FW3,2,1,1,44,11.92472569,96.86619067,713,11,94.73269276,20.4,72,2142,12
PV,PULO,FW,FW3,2,2,1,47,11.92472569,96.86619067,713,11,94.73269276,20.4,72,2142,12
PV,PULO,FW,FW3,2,3,1,27,11.92472569,96.86619067,713,11,94.73269276,20.4,72,2142,12
PV,PULO,FW,FW3,2,4,1,41,11.92472569,96.86619067,713,11,94.73269276,20.4,72,2142,12
PV,PULO,FW,FW3,2,5,1,57,11.92472569,96.86619067,713,11,94.73269276,20.4,72,2142,12
PV,CORA,GA,GA1,2,1,1,43,797.9511446,156.2461547,1166,-103,259.1326928,15.8,34,1448,12
PV,CORA,GA,GA1,2,2,1,33,797.9511446,156.2461547,1166,-103,259.1326928,15.8,34,1448,12
PV,CORA,GA,GA1,2,3,1,25,797.9511446,156.2461547,1166,-103,259.1326928,15.8,34,1448,12
PV,CORA,GA,GA1,2,4,1,51,797.9511446,156.2461547,1166,-103,259.1326928,15.8,34,1448,12
PV,CORA,GA,GA1,2,5,1,20,797.9511446,156.2461547,1166,-103,259.1326928,15.8,34,1448,12
PV,CORA,GA,GA2,2,1,1,46,798.2124978,248.5658291,1234,-92,228.2326928,15,35,1463,12
PV,CORA,GA,GA2,2,2,1,31,798.2124978,248.5658291,1234,-92,228.2326928,15,35,1463,12
PV,CORA,GA,GA2,2,3,1,53,798.2124978,248.5658291,1234,-92,228.2326928,15,35,1463,12
PV,CORA,GA,GA2,2,4,1,51,798.2124978,248.5658291,1234,-92,228.2326928,15,35,1463,12
PV,CORA,GA,GA2,2,5,1,48,798.2124978,248.5658291,1234,-92,228.2326928,15,35,1463,12
PV,CORA,GA,GA3,2,1,1,38,798.0599077,270.7183899,1230,-93,229.6326928,15.1,35,1460,12
PV,CORA,GA,GA3,2,2,1,41,798.0599077,270.7183899,1230,-93,229.6326928,15.1,35,1460,12
PV,CORA,GA,GA3,2,3,1,47,798.0599077,270.7183899,1230,-93,229.6326928,15.1,35,1460,12
PV,CORA,GA,GA3,2,4,1,54,798.0599077,270.7183899,1230,-93,229.6326928,15.1,35,1460,12
PV,CORA,GA,GA3,2,5,1,80,798.0599077,270.7183899,1230,-93,229.6326928,15.1,35,1460,12
PV,KLMT,GP,GP1,2,1,1,40,530.1477678,433.9609332,503,-93,240.7326928,26.7,78,1984,12
PV,KLMT,GP,GP1,2,2,1,54,530.1477678,433.9609332,503,-93,240.7326928,26.7,78,1984,12
PV,KLMT,GP,GP1,2,3,1,71,530.1477678,433.9609332,503,-93,240.7326928,26.7,78,1984,12
PV,KLMT,GP,GP1,2,4,1,48,530.1477678,433.9609332,503,-93,240.7326928,26.7,78,1984,12
PV,KLMT,GP,GP1,2,5,1,43,530.1477678,433.9609332,503,-93,240.7326928,26.7,78,1984,12
PV,KLMT,GP,GP2,2,10,1,35,530.1774922,425.4964938,500,-94,244.0326928,26.9,77,1966,12
PV,KLMT,GP,GP2,2,11,1,46,530.1774922,425.4964938,500,-94,244.0326928,26.9,77,1966,12
PV,KLMT,GP,GP2,2,12,1,31,530.1774922,425.4964938,500,-94,244.0326928,26.9,77,1966,12
PV,KLMT,GP,GP2,2,13,1,50,530.1774922,425.4964938,500,-94,244.0326928,26.9,77,1966,12
PV,KLMT,GP,GP2,2,14,1,25,530.1774922,425.4964938,500,-94,244.0326928,26.9,77,1966,12
PV,KLMT,HC,HC1,2,1,1,37,775.1487302,397.7296206,1195,-79,202.3326928,15.5,34,1452,12
