"","Site","Ecoregion","Source","Family","Block","Tree","Condition","Height","Distance","ElevDist","eFFP","MSP","Slope","Aspect","Hardiness","DD.5.sp","Year"
"180","SF","PULO","FW","FW10","1","4","1","24","327.588078504471","-257.3859722","714","0","94.604192481","20.4","73","2241","12"
"181","SF","PULO","FW","FW10","1","5","1","35","327.588078504471","-257.3859722","714","0","94.604192481","20.4","73","2241","12"
"182","SF","PULO","FW","FW3","1","1","1","39","327.567536715214","-260.5966022","714","0","94.604192481","20.4","72","2240","12"
"183","SF","PULO","FW","FW3","1","2","1","29","327.567536715214","-260.5966022","714","0","94.604192481","20.4","72","2240","12"
"184","SF","PULO","FW","FW3","1","3","1","26","327.567536715214","-260.5966022","714","0","94.604192481","20.4","72","2240","12"
"185","SF","PULO","FW","FW3","1","4","1","30","327.567536715214","-260.5966022","714","0","94.604192481","20.4","72","2240","12"
"186","SF","PULO","FW","FW3","1","5","1","31","327.567536715214","-260.5966022","714","0","94.604192481","20.4","72","2240","12"
"187","SF","CORA","GA","GA1","1","1","1","40","485.830575596706","-201.2166382","1167","-114","259.004192481","15.8","34","1546","12"
"188","SF","CORA","GA","GA1","1","2","1","48","485.830575596706","-201.2166382","1167","-114","259.004192481","15.8","34","1546","12"
"189","SF","CORA","GA","GA1","1","3","1","54","485.830575596706","-201.2166382","1167","-114","259.004192481","15.8","34","1546","12"
"190","SF","CORA","GA","GA1","1","4","1","39","485.830575596706","-201.2166382","1167","-114","259.004192481","15.8","34","1546","12"
"191","SF","CORA","GA","GA1","1","5","1","22","485.830575596706","-201.2166382","1167","-114","259.004192481","15.8","34","1546","12"
"192","SF","CORA","GA","GA2","1","1","1","56","486.001221875719","-108.8969638","1235","-103","228.104192481","15","35","1561","12"
"193","SF","CORA","GA","GA2","1","2","1","46","486.001221875719","-108.8969638","1235","-103","228.104192481","15","35","1561","12"
"194","SF","CORA","GA","GA2","1","3","1","49","486.001221875719","-108.8969638","1235","-103","228.104192481","15","35","1561","12"
"195","SF","CORA","GA","GA2","1","4","1","32","486.001221875719","-108.8969638","1235","-103","228.104192481","15","35","1561","12"
"196","SF","CORA","GA","GA2","1","5","1","39","486.001221875719","-108.8969638","1235","-103","228.104192481","15","35","1561","12"
"197","SF","CORA","GA","GA3","1","1","1","39","485.846565226749","-86.744403","1231","-104","229.504192481","15.1","35","1558","12"
"198","SF","CORA","GA","GA3","1","2","1","36","485.846565226749","-86.744403","1231","-104","229.504192481","15.1","35","1558","12"
"199","SF","CORA","GA","GA3","1","3","1","38","485.846565226749","-86.744403","1231","-104","229.504192481","15.1","35","1558","12"
"200","SF","CORA","GA","GA3","1","4","1","39","485.846565226749","-86.744403","1231","-104","229.504192481","15.1","35","1558","12"
"201","SF","CORA","GA","GA3","1","5","1","37","485.846565226749","-86.744403","1231","-104","229.504192481","15.1","35","1558","12"
"202","SF","KLMT","GP","GP1","1","1","1","51","220.322408366504","76.4981403","504","-104","240.604192481","26.7","78","2082","12"
"203","SF","KLMT","GP","GP1","1","2","1","29","220.322408366504","76.4981403","504","-104","240.604192481","26.7","78","2082","12"
"204","SF","KLMT","GP","GP1","1","3","1","33","220.322408366504","76.4981403","504","-104","240.604192481","26.7","78","2082","12"
"205","SF","KLMT","GP","GP1","1","4","1","44","220.322408366504","76.4981403","504","-104","240.604192481","26.7","78","2082","12"
"206","SF","KLMT","GP","GP1","1","5","1","37","220.322408366504","76.4981403","504","-104","240.604192481","26.7","78","2082","12"
"207","SF","KLMT","GP","GP2","1","1","1","38","220.354283365032","68.0337009","501","-105","243.904192481","26.9","77","2064","12"
"208","SF","KLMT","GP","GP2","1","2","1","48","220.354283365032","68.0337009","501","-105","243.904192481","26.9","77","2064","12"
"209","SF","KLMT","GP","GP2","1","3","1","32","220.354283365032","68.0337009","501","-105","243.904192481","26.9","77","2064","12"
"210","SF","KLMT","GP","GP2","1","4","1","44","220.354283365032","68.0337009","501","-105","243.904192481","26.9","77","2064","12"
"211","SF","KLMT","GP","GP2","1","5","1","54","220.354283365032","68.0337009","501","-105","243.904192481","26.9","77","2064","12"
"212","SF","KLMT","HC","HC1","1","1","1","30","463.237401008845","40.2668277","1196","-90","202.204192481","15.5","34","1550","12"
"213","SF","KLMT","HC","HC1","1","2","1","67","463.237401008845","40.2668277","1196","-90","202.204192481","15.5","34","1550","12"
"214","SF","KLMT","HC","HC1","1","3","1","47","463.237401008845","40.2668277","1196","-90","202.204192481","15.5","34","1550","12"
"215","SF","KLMT","HC","HC1","1","4","1","43","463.237401008845","40.2668277","1196","-90","202.204192481","15.5","34","1550","12"
"216","SF","KLMT","HC","HC1","1","5","1","37","463.237401008845","40.2668277","1196","-90","202.204192481","15.5","34","1550","12"
"217","SF","KLMT","HC","HC2","1","1","1","34","463.216881424549","44.2300777","1196","-90","202.104192481","15.5","34","1550","12"
"218","SF","KLMT","HC","HC2","1","2","1","31","463.216881424549","44.2300777","1196","-90","202.104192481","15.5","34","1550","12"
"219","SF","KLMT","HC","HC2","1","3","1","45","463.216881424549","44.2300777","1196","-90","202.104192481","15.5","34","1550","12"
"220","SF","KLMT","HC","HC2","1","4","1","25","463.216881424549","44.2300777","1196","-90","202.104192481","15.5","34","1550","12"
"221","SF","KLMT","HC","HC2","1","5","1","46","463.216881424549","44.2300777","1196","-90","202.104192481","15.5","34","1550","12"
"222","SF","CSCO","HP","HP1","1","1","1","32","606.984701430371","-55.5615504","697","-144","469.904192481","24.6","28","1240","12"
"223","SF","CSCO","HP","HP1","1","2","1","36","606.984701430371","-55.5615504","697","-144","469.904192481","24.6","28","1240","12"
