"","Site","Block","Tree","Source","Name","cond","ht","Year"
"348","PH",1,2,"SA","SA7",1,39,12
"349","PH",1,3,"SA","SA7",1,45,12
"350","PH",1,4,"SA","SA7",1,56,12
"351","PH",1,5,"SA","SA7",1,56,12
"352","PH",1,1,"SA","SA8",1,51,12
"353","PH",1,3,"SA","SA8",1,35,12
"354","PH",1,4,"SA","SA8",1,52,12
"355","PH",1,5,"SA","SA8",1,38,12
"356","PH",1,2,"SC","SC4",1,44,12
"357","PH",1,3,"SC","SC4",1,42,12
"358","PH",1,4,"SC","SC4",1,70,12
"359","PH",1,5,"SC","SC4",1,47,12
"360","PH",1,1,"SN","SN1",1,36,12
"361","PH",1,2,"SN","SN1",1,45,12
"362","PH",1,3,"SN","SN1",1,77,12
"363","PH",1,4,"SN","SN1",1,65,12
"364","PH",1,5,"SN","SN1",1,42,12
"365","PH",1,1,"SN","SN2",1,24,12
"366","PH",1,2,"SN","SN2",1,52,12
"367","PH",1,3,"SN","SN2",1,54,12
"368","PH",1,4,"SN","SN2",1,58,12
"369","PH",1,5,"SN","SN2",1,40,12
"370","PH",1,1,"SN","SN3",1,31,12
"371","PH",1,3,"SN","SN3",1,57,12
"372","PH",1,4,"SN","SN3",1,29,12
"373","PH",1,5,"SN","SN3",1,47,12
"374","PH",1,1,"SN","SN4",1,60,12
"375","PH",1,2,"SN","SN4",1,79,12
"376","PH",1,3,"SN","SN4",2,49,12
"377","PH",1,4,"SN","SN4",1,41,12
"378","PH",1,5,"SN","SN4",1,52,12
"379","PH",1,1,"SR","SR2",1,25,12
"380","PH",1,2,"SR","SR2",1,46,12
"381","PH",1,3,"SR","SR2",1,25,12
"382","PH",1,4,"SR","SR2",1,43,12
"383","PH",1,5,"SR","SR2",1,54,12
"384","PH",1,2,"SR","SR3",1,37,12
"385","PH",1,3,"SR","SR3",1,46,12
"386","PH",1,5,"SR","SR3",1,30,12
"387","PH",1,4,"VE","VE10",1,42,12
"388","PH",1,5,"VE","VE10",1,45,12
"389","PH",1,3,"VE","VE5",1,30,12
"390","PH",1,4,"VE","VE5",1,65,12
"391","PH",1,5,"VE","VE5",1,44,12
"392","PH",1,1,"VE","VE7",1,15,12
"393","PH",1,2,"VE","VE7",1,44,12
"394","PH",1,3,"VE","VE7",1,52,12
"395","PH",1,4,"VE","VE7",1,54,12
"396","PH",1,5,"VE","VE7",1,61,12
"397","PH",1,1,"VI","VI3",1,65,12
"398","PH",1,2,"VI","VI3",1,58,12
"399","PH",1,3,"VI","VI3",1,49,12
"400","PH",1,4,"VI","VI3",1,43,12
"401","PH",1,5,"VI","VI3",1,51,12
"402","PH",1,1,"VI","VI4",1,46,12
"403","PH",1,3,"VI","VI4",1,29,12
"404","PH",1,4,"VI","VI4",1,42,12
"405","PH",1,5,"VI","VI4",1,41,12
"406","PH",1,1,"VI","VI5",1,30,12
